Date,rsi_20,macd,wr_20,wr_60,cci_20,close_20_mvar,dma,MaxDayDelta_change,Volume_change,Close_change,close_20_sma_change,close_60_sma_change
2016-01-06,12.698887553251737,-0.704432961410248,-81.04821733710861,-81.04821733710861,-100.00000000000085,202.96048624813557,0.0,0.8379347534879886,0.1699769601415846,-0.013115396702646942,-0.004041159093119973,-0.004041159093119973
2016-01-07,4.812292132615795,-2.751942099633652,-95.7129818104538,-95.7129818104538,-131.19529511130523,1141.8895046561956,0.0,0.4234572977013642,0.17062209165579034,-0.023700443014411654,-0.007905805974265268,-0.007905805974265268
2016-01-08,3.7250560284466303,-4.644615973233613,-97.01848283736531,-97.01848283736531,-107.92111441422365,1798.9806228771813,0.0,-0.09786895490565739,-0.08108789561496987,-0.010838374390218508,-0.006897137021669608,-0.006897137021669608
2016-01-11,5.4756389868603605,-5.62493832241762,-83.53751102951324,-83.53751102951324,-97.55328244431139,1912.3101178333175,0.0,-0.17620418368148838,-0.01235814394182988,0.0008532721255336551,-0.00449176391703443,-0.00449176391703443
2016-01-12,19.565906424940266,-5.4767622543488415,-72.5892889736921,-72.5892889736921,-62.67295082003523,1716.987389631215,0.0,-0.04399471441593594,0.06076674140329774,0.00780279851675636,-0.002133341185157178,-0.002133341185157178
2016-01-13,12.99231177603879,-7.591242488463422,-97.4504267517409,-97.4504267517409,-92.9715302753132,2148.665489391556,0.0,0.9352063330154998,0.04087566448275726,-0.02496545230421965,-0.0046840778138542705,-0.0046840778138542705
2016-01-14,29.296854368158066,-7.37417296714807,-73.05836646256454,-73.05836646256454,-78.29390370273171,1999.857452407479,0.0,-0.13110161334677783,0.030288793264439118,0.016695905386662213,-0.0018663285470682522,-0.0018663285470682522
2016-01-15,23.261731263625435,-9.251057200444848,-87.52564139873618,-87.52564139873618,-109.38175531475353,2277.422283421623,0.0,0.059600029012073064,0.0433782156833189,-0.021599098001850003,-0.0036234552840026524,-0.0036234552840026524
2016-01-19,23.660515445632967,-10.424309481221599,-86.97122546090223,-86.97122546090223,-101.20863871443255,2406.216122418101,-7.439821555397657,-0.3740033188135241,-0.09876820896559546,0.0005318215543925753,-0.002928661539388644,-0.002928661539388644
2016-01-20,21.118970754991622,-12.351139731941657,-79.1775772240516,-79.1775772240516,-138.41521499529833,2706.6557796091747,-16.600166829427053,0.7342582498600034,0.301869794150172,-0.011693855152413501,-0.003393584474008615,-0.003393584474008615
2016-01-21,24.85005121927786,-13.070608646546816,-74.90152130003771,-74.90152130003771,-94.085794637516,2783.451850566726,-23.904540076622652,-0.3603070003649307,-0.20842353652625356,0.005195438361131455,-0.0024965927646330988,-0.0024965927646330988
2016-01-22,37.13380563068662,-11.242260364979302,-58.12048065170475,-58.12048065170475,-46.67984601733104,2597.8017335479235,-26.097712053571286,-0.23048801249675188,-0.03486052835211395,0.020283701024494727,-0.0007399712631110944,-0.0007399712631110944
2016-01-25,32.707147714031564,-11.489541463428168,-71.3204629282405,-71.3204629282405,-61.62371430580732,2568.129745895663,-27.369002278645667,-0.036244653350825606,-0.10208170126648386,-0.015637982053378963,-0.001674279269957335,-0.001674279269957335
2016-01-26,39.469724883417314,-9.92251410685435,-59.567968945032405,-59.567968945032405,-43.696272429827125,2418.501744492289,-28.211631774902344,-0.07819573097060006,-0.009869631797299938,0.014144335590226431,-0.000604186433518672,-0.000604186433518672
